resource_id,role
85575,role_0
85576,role_0
85577,role_0
85578,role_0
85579,role_0
85582,role_0
85583,role_0
85584,role_0
85585,role_0
85586,role_0
85587,role_0
85588,role_0
85590,role_0
85591,role_0
85592,role_0
85593,role_0
85594,role_0
85595,role_0
85596,role_0
85599,role_0
85600,role_0
85602,role_0
85604,role_0
85605,role_0
85606,role_0
85608,role_0
85609,role_0
85610,role_0
85613,role_0
85614,role_0
85615,role_0
85616,role_0
85617,role_0
85620,role_0
85621,role_0
85622,role_0
85623,role_0
85624,role_0
85626,role_0
85627,role_0
85628,role_0
85629,role_0
85630,role_0
85631,role_0
85632,role_0
85633,role_0
85634,role_0
85635,role_0
85637,role_0
85638,role_0
85639,role_0
85640,role_0
85642,role_0
85643,role_0
85644,role_0
85645,role_0
85646,role_0
85648,role_0
85649,role_0
85650,role_0
85651,role_0
85652,role_0
85654,role_0
85657,role_0
85658,role_0
85659,role_0
85661,role_0
85662,role_0
85666,role_0
85667,role_0
85668,role_0
85669,role_0
85670,role_0
85671,role_0
85672,role_0
85673,role_0
85674,role_0
85675,role_0
85676,role_0
85677,role_0
85678,role_0
85679,role_0
85680,role_0
85681,role_0
85683,role_0
85684,role_0
85686,role_0
85687,role_0
85689,role_0
85690,role_0
85691,role_0
85692,role_0
85693,role_0
85696,role_0
85697,role_0
85698,role_0
85700,role_0
85701,role_0
85703,role_0
85704,role_0
85705,role_0
85706,role_0
85707,role_0
85708,role_0
85709,role_0
85710,role_0
85711,role_0
85712,role_0
85713,role_0
85714,role_0
85715,role_0
85716,role_0
85717,role_0
85719,role_0
85720,role_0
85721,role_0
85723,role_0
85724,role_0
85725,role_0
85726,role_0
85727,role_0
85728,role_0
85729,role_0
85730,role_0
85731,role_0
85732,role_0
85733,role_0
85734,role_0
85735,role_0
85736,role_0
85737,role_0
85738,role_0
85739,role_0
85741,role_0
85742,role_0
85743,role_0
85746,role_0
85747,role_0
85749,role_0
85750,role_0
85751,role_0
85752,role_0
85754,role_0
85755,role_0
85756,role_0
85757,role_0
85758,role_0
85759,role_0
85761,role_0
85762,role_0
85763,role_0
85764,role_0
85765,role_0
85766,role_0
85767,role_0
85768,role_0
85769,role_0
85770,role_0
85771,role_0
